Time,NumAcc,NumDead,NumHu,WeekDay
1,92,0,13,Monday
2,67,3,20,Monday
3,34,0,6,Monday
4,34,0,13,Monday
5,25,1,3,Monday
6,36,1,6,Monday
7,100,2,35,Monday
8,249,2,77,Monday
9,528,6,82,Monday
10,468,3,71,Monday
11,480,3,59,Monday
12,518,4,61,Monday
13,514,2,63,Monday
14,536,2,95,Monday
15,534,4,106,Monday
16,507,1,85,Monday
17,478,4,77,Monday
18,605,9,97,Monday
19,455,8,91,Monday
20,340,6,60,Monday
21,228,1,40,Monday
22,188,2,43,Monday
23,152,6,32,Monday
24,120,3,27,Monday
1,104,7,19,Tuesday
2,51,1,6,Tuesday
3,52,0,5,Tuesday
4,57,0,19,Tuesday
5,40,0,9,Tuesday
6,60,2,21,Tuesday
7,75,2,29,Tuesday
8,286,4,55,Tuesday
9,439,2,75,Tuesday
10,516,5,58,Tuesday
11,475,4,70,Tuesday
12,446,4,48,Tuesday
13,477,6,73,Tuesday
14,474,7,75,Tuesday
15,474,3,85,Tuesday
16,477,2,75,Tuesday
17,475,1,64,Tuesday
18,581,7,108,Tuesday
19,488,8,100,Tuesday
20,395,5,78,Tuesday
21,254,3,45,Tuesday
22,183,4,40,Tuesday
23,161,2,40,Tuesday
24,124,0,16,Tuesday
1,96,0,8,Wednesday
2,65,3,19,Wednesday
3,41,1,9,Wednesday
4,41,1,12,Wednesday
5,43,1,19,Wednesday
6,42,0,13,Wednesday
7,91,2,19,Wednesday
8,266,4,46,Wednesday
9,466,2,59,Wednesday
10,451,2,60,Wednesday
11,445,2,91,Wednesday
12,462,1,66,Wednesday
13,464,3,84,Wednesday
14,499,4,67,Wednesday
15,456,2,77,Wednesday
16,460,3,62,Wednesday
17,450,11,85,Wednesday
18,606,4,96,Wednesday
19,482,5,96,Wednesday
20,337,4,61,Wednesday
21,256,6,58,Wednesday
22,176,2,29,Wednesday
23,152,5,21,Wednesday
24,89,0,11,Wednesday
1,96,2,18,Thursday
2,76,3,22,Thursday
3,35,0,7,Thursday
4,45,1,21,Thursday
5,38,3,13,Thursday
6,65,0,12,Thursday
7,82,1,13,Thursday
8,246,5,59,Thursday
9,500,7,73,Thursday
10,453,3,65,Thursday
11,459,2,75,Thursday
12,483,2,66,Thursday
13,458,1,67,Thursday
14,489,5,71,Thursday
15,441,4,75,Thursday
16,451,3,94,Thursday
17,482,4,71,Thursday
18,503,2,96,Thursday
19,501,6,115,Thursday
20,351,4,68,Thursday
21,277,10,66,Thursday
22,202,3,44,Thursday
23,145,3,23,Thursday
24,144,4,22,Thursday
1,112,3,26,Friday
2,78,4,15,Friday
3,63,0,7,Friday
4,54,2,10,Friday
5,54,0,8,Friday
6,53,1,11,Friday
7,85,7,27,Friday
8,270,4,78,Friday
9,463,4,67,Friday
10,466,4,85,Friday
11,469,5,77,Friday
12,515,7,76,Friday
13,549,2,73,Friday
14,511,3,78,Friday
15,490,5,59,Friday
16,518,8,95,Friday
17,561,5,110,Friday
18,642,7,113,Friday
19,565,14,111,Friday
20,429,11,80,Friday
21,296,5,62,Friday
22,257,7,56,Friday
23,174,1,42,Friday
24,174,3,44,Friday
1,132,7,31,Saturday
2,125,4,35,Saturday
3,81,9,26,Saturday
4,91,5,18,Saturday
5,74,3,27,Saturday
6,78,0,26,Saturday
7,82,1,14,Saturday
8,143,5,41,Saturday
9,221,6,65,Saturday
10,320,1,58,Saturday
11,436,6,67,Saturday
12,473,3,57,Saturday
13,459,4,90,Saturday
14,459,5,90,Saturday
15,412,4,76,Saturday
16,394,5,88,Saturday
17,339,1,73,Saturday
18,387,3,72,Saturday
19,380,12,84,Saturday
20,290,6,82,Saturday
21,256,4,59,Saturday
22,214,1,53,Saturday
23,165,3,37,Saturday
24,137,6,34,Saturday
1,134,7,26,Sunday
2,121,9,41,Sunday
3,89,4,32,Sunday
4,81,0,22,Sunday
5,87,5,16,Sunday
6,72,2,25,Sunday
7,91,2,29,Sunday
8,109,0,29,Sunday
9,140,1,22,Sunday
10,172,2,32,Sunday
11,258,3,56,Sunday
12,268,3,57,Sunday
13,329,4,68,Sunday
14,331,6,59,Sunday
15,373,5,85,Sunday
16,301,8,75,Sunday
17,387,7,89,Sunday
18,362,4,84,Sunday
19,372,4,101,Sunday
20,310,2,59,Sunday
21,247,1,56,Sunday
22,172,4,40,Sunday
23,168,2,30,Sunday
24,108,2,25,Sunday
